player_name,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK
Stefanie Dolson,Shot Type Detail,Jump Bank Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Stefanie Dolson,Shot Type Detail,Jump Shot,15,28,0.536,14,26,0.538,0.786,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Stefanie Dolson,Shot Type Detail,Layup Shot,3,4,0.75,0,0,0.0,0.75,1,1.0,0.0,0.0,0.0,1.0,0.0,2,2,1,2,5,2,2,31,1,1,2,1,1,1
Stefanie Dolson,Shot Type Detail,Pullup Jump shot,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,2,2,2,4,1,4,1,2,1,4,1
Aaliyah Edwards,Shot Type Detail,Driving Floating Jump Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,13,9,1,2,1,9,1,8,4,1,1,8,4
Stefanie Dolson,Shot Type Detail,Putback Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Stefanie Dolson,Shot Type Detail,Reverse Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Stefanie Dolson,Shot Type Detail,Running Finger Roll Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Aaliyah Edwards,Shot Type Detail,Driving Hook Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,13,9,1,2,1,9,1,8,4,1,1,8,4
Aaliyah Edwards,Shot Type Detail,Driving Layup Shot,2,6,0.333,0,0,0.0,0.333,1,1.0,0.0,0.0,0.0,1.0,0.0,4,3,6,1,2,1,6,30,1,4,1,1,1,4
Aaliyah Edwards,Shot Type Detail,Driving Reverse Layup Shot,1,2,0.5,0,0,0.0,0.5,0,1.0,0.0,0.0,0.0,1.0,0.0,6,6,4,1,2,1,4,1,1,4,1,1,1,4
Aaliyah Edwards,Shot Type Detail,Fadeaway Jump Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,13,9,1,2,1,9,1,8,4,1,1,8,4
Aaliyah Edwards,Shot Type Detail,Finger Roll Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,13,9,1,2,1,9,1,8,4,1,1,8,4
Stefanie Dolson,Shot Type Detail,Running Jump Shot,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,2,2,2,4,1,4,1,2,1,4,1
Stefanie Dolson,Shot Type Detail,Running Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Stefanie Dolson,Shot Type Detail,Running Pull-Up Jump Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Stefanie Dolson,Shot Type Detail,Step Back Bank Jump Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Queen Egbo,Shot Type Detail,Jump Shot,0,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Queen Egbo,Shot Type Detail,Pullup Jump shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,1,1,1,1,1,1,1,1,1,1,1
Queen Egbo,Shot Type Detail,Putback Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,1,1,1,1,1,1,1,1,1,1,1
Aaliyah Edwards,Shot Type Detail,Floating Jump shot,0,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,9,1,2,1,9,1,8,4,1,1,8,4
Aaliyah Edwards,Shot Type Detail,Hook Shot,1,1,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,6,9,1,1,2,1,1,1,8,1,1,1,8,1
Stefanie Dolson,Shot Type Detail,Step Back Jump shot,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,2,2,2,4,1,4,1,2,1,4,1
Stefanie Dolson,Shot Type Detail,Tip Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Queen Egbo,Shot Type Detail,Running Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,1,1,1,1,1,1,1,1,1,1,1
Queen Egbo,Shot Type Detail,Running Pull-Up Jump Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,1,1,1,1,1,1,1,1,1,1,1
Queen Egbo,Shot Type Detail,Tip Layup Shot,0,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aaliyah Edwards,Shot Type Detail,Jump Bank Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,13,9,1,2,1,9,1,8,4,1,1,8,4
Aaliyah Edwards,Shot Type Detail,Jump Shot,3,10,0.3,0,2,0.0,0.3,0,1.0,0.0,0.0,0.0,1.0,0.0,3,2,8,1,1,1,8,1,1,4,1,1,1,4
